20001	7-950658-2-1	0.0083	0.0088	0.0033	0.0031	-0.0035	0.0073	0.015	-0.0057	0.0184	0.0063
20006	7-950657-2-1	0.009	0.0088	0.0056	0.0024	0.0018	-0.0048	-0.0113	0.003	0.0033	0.0024
20007	7-950661-2-1	0.0084	0.0085	0.0062	0.0043	0.0069	0.0049	0.0055	-0.0037	0.0127	-0.0027
20009	7-950663-2-1	0.0095	0.0092	0.0051	0.0048	0.001	-0.0096	-0.0156	-0.0027	0.0114	-0.0047
20010	7-028184-2-1	0.0089	0.0094	0.0058	0.0024	0.0203	0.0072	0.0414	-0.0006	0.0029	-0.0082
20012	7-950659-2-1	0.0081	0.0089	0.0027	0.0036	-0.0177	-0.0003	-0.0077	-0.0033	0.0002	0.0055
20013	7-950669-2-1	0.0036	-0.0116	0.0089	0.0071	0.0009	-0.0059	-0.0095	-0.0007	-0.0068	0.0124
20014	7-950670-2-1	0.0086	0.0087	0.0026	0.005	0.0079	-0.0074	-0.02	-0.005	0.0125	0.0051
20017	7-010602-2-4	0.0036	-0.011	0.0082	0.0084	0.0025	-0.0028	-0.0062	-0.0014	0.0008	0.0084
20019	7-950668-2-1	0.0065	0.0038	-0.0127	0.0018	-0.0024	0.0075	-0.0098	-0.0026	0.0127	0.0012
20021	7-950676-2-2	0.0083	0.0084	0.003	0.0044	0.0024	0.0025	-0.0084	0.0003	0.0075	-0.0039
20024	7-010624-2-4	0.0084	0.0089	0.007	0.0044	0.0182	0.0018	0.0264	-0.0058	0.0197	-0.0061
20025	7-028254-2-1	0.0083	0.007	0.0053	-0.0016	0.0116	0.0064	0.0122	0.0023	0.0383	-0.0085
20028	7-028289-2-1	0.0087	0.0084	0.0042	0.0033	0.0062	0.0041	0.0018	-0.0017	0.0098	-0.0006
20029	7-950666-2-1	0.0035	-0.0086	0.0051	0.0073	-0.003	-0.0145	-0.0114	-0.0008	0.0042	-0.0071
20032	7-950681-2-1	0.0029	-0.0117	0.0062	-0.0611	0.0013	-0.0033	0.0016	-0.0008	0.0154	0.0024
20033	7-950682-2-1	0.0065	0.0083	-0.0003	0.0051	-0.0604	-0.0031	0.0186	-0.0016	0.0056	0.0004
20034	7-950680-2-1	0.0059	0.0022	-0.013	0.0004	0.0081	-0.0007	-0.006	-0.0096	0.0214	-0.0005
20035	7-010626-2-4	0.0078	0.0078	0.0006	0.0046	-0.0356	0.0031	-0.0007	0.0085	-0.0007	-0.0014
20036	7-950686-2-1	0.0009	-0.0223	0.0079	0.0084	-0.0003	0.0105	-0.0007	-0.0029	0.0116	0.0007
20037	7-950687-2-1	0.0086	0.0072	0.0045	-0.0003	0.0073	0.0004	-0.0119	-0.0066	-0.0177	0.0053
20038	7-950679-2-2	0.0037	-0.0103	0.0052	0.0082	0.0059	-0.024	-0.0025	-0.0093	0.03	-0.0183
20040	7-950685-2-1	0.0089	0.0082	0.0033	0.0038	-0.0019	0.0017	-0.0067	0.0002	-0.0029	-0.0002
20041	7-950667-2-1	0.0083	0.0085	0.004	0.0059	0.0103	0.003	0.021	-0.0011	0.0155	-0.0021
20043	7-950688-2-2	0.0086	0.0088	0.0053	0.0046	0.0036	-0.0015	-0.015	0.0054	0.0029	0.0002
20044	7-950695-2-1	0.0084	0.0084	0.0036	0.0026	0.0024	-0.0049	-0.0162	0.0045	-0.0039	0.0041
20045	7-028379-2-1	0.0072	0.009	0.0025	0.0054	-0.0137	0.0035	0.0271	-0.0004	0.0082	-0.0076
20047	7-950673-2-1	0.0086	0.0086	0.0061	0.0052	0.0102	0.0027	0.0144	0.0062	-0.0187	0
20048	7-950699-2-1	0.0037	-0.0124	0.0076	0.0066	0.0069	-0.0033	0.004	0.0041	-0.008	0.0007
20049	7-950683-2-1	0.0067	-0.0002	0.0064	0.0053	0.012	-0.0038	0.0164	-0.0028	0.0051	0.0097
20050	7-013626-2-4	0.0068	0.0017	0.0054	0.005	0.0012	-0.0121	-0.0072	-0.0009	-0.0005	0.0052
20052	7-014269-2-2	0.0086	0.0087	0.0067	0.0043	0.0078	-0.0021	-0.0215	-0.0029	0.0307	0.0016
